rank,name,amount,aDPS,rDPS,nDPS,duration_s,report_code,fight_id,bard_actor_id,final_raging_s,final_battle_voice_s,final_radiant_finale_s,final_party_anchor_s,death_after_final_anchor_s,rough_cycle_phase_s
1,Hide Elder,35131.970782275,35131.970782275,41540.64077826,32151.540775647,509.942,mcV9PHtkNJ6zFpbA,50,189,486.951,489.128,489.802,489.128,20.81400000000002,29.942000000000007
2,Lefiena Riliales,34915.710091937,34915.710091937,40105.936983276,32325.755064418,512.738,zLHhMqKwW9d6r3Rf,330,765,486.214,490.543,491.213,490.543,22.19500000000005,32.738000000000056
3,Sakura Fleur,34858.859797043,34858.859797043,40928.248397762,32648.914647194,532.07,LQMvFdjTCPVXp6tq,1,2,494.188,492.849,493.521,492.849,39.22100000000006,52.07000000000005
4,Ara Ban,34748.517924087,34748.517924087,43365.153341274,32639.14658566,507.403,Kn9vkBgZT3RPGxDf,21,4,489.945,487.051,487.72,487.051,20.352000000000032,27.40300000000002
5,Anonymous,34644.589079623,34644.589079623,40252.007308467,31554.182755016,502.584,a:jpDynTLQmCax2VMZ,18,19,487.808,485.003,485.581,485.003,17.581000000000017,22.584000000000003
6,Mee Anist,34432.712705601,34432.712705601,40685.700268873,31698.067933521,507.728,Q4KmWZdDHP7RwgjL,54,1439,490.109,485.871,487.3,485.871,21.857000000000028,27.72800000000001
7,Hemera Mictlan,34426.506867124,34426.506867124,38972.992693426,31702.075172434,550.583,y3NJpxqPfZW17c4D,4,335,489.864,491.287,492.001,491.287,59.29599999999999,70.58299999999997
8,Elessar Kairi,34416.823958363,34416.823958363,40330.654508564,32409.963628042,520.358,pXWY3NtLw749Tyfh,2,978,492.265,490.886,490.131,490.131,30.226999999999975,40.35799999999995
9,Nihilis Nil,34394.724217884,34394.724217884,39107.478646002,31052.07652979,525.928,9jK76CAB4MgfkFHr,1,4,489.766,487.54,486.873,486.873,39.05500000000001,45.928
10,Miliam Guropius,34363.491979975,34363.491979975,40802.781673408,32448.586443581,514.443,jbDJPNWfgqhz69Tt,2,11,489.532,486.859,488.864,486.859,27.584000000000003,34.442999999999984
11,Lancia Stratos,34359.135634379,34359.135634379,39480.34755182,31841.232130055,522.018,MNrmfJYhWxLVPk9p,1,6,486.074,487.594,488.264,487.594,34.424000000000035,42.01800000000003
12,Lavshuca Poirot,34348.672794009,34348.672794009,39890.808559992,31075.434995131,506.371,fNHpthYQZJBaPdgA,1,5,492.815,494.112,492.058,492.058,14.312999999999988,26.37099999999998
13,Vincent Kline,34294.171135684,34294.171135684,38933.37148775,30784.835535319,527.533,TrVdz27vLQmhPAk3,1,7,495.069,492.703,494.356,492.703,34.83000000000004,47.533000000000015
14,Haase Latreia,34263.931134912,34263.931134912,41262.840179905,31531.454049839,510.87,rpFMtP98N4cwfhX7,34,2135,490.385,488.871,488.205,488.205,22.66500000000002,30.870000000000005
15,Miroq Ray,34243.102,34243.102,39703.004698801,31000.479375819,500.986,tgkTvpyF1WYLZDKn,2,625,491.614,490.914,489.088,489.088,11.897999999999968,20.98599999999999
16,Torha Nox,34220.372088098,34220.372088098,40110.080513836,31021.183167033,510.869,QMGygLdWcJXZ6BKz,1,15,487.333,490.223,489.561,489.561,21.30800000000005,30.869000000000028
17,Nalshe Falkner,34156.325310694,34156.325310694,39454.379398462,31412.94991779,508.654,DtAQPLpfnJvmZ9VN,4,2,488.643,487.661,485.608,485.608,23.045999999999992,28.653999999999996
